Replicate,CCD Point Type,Experiments,MV,ME,MS,m,CC,C_M,Nel,Q,AR,Ortho,Skew,C_S,It,VM_RMS,?P,k,Îµ,Re,y^+
3,Factorial Point,11,1.5,4,1.5,34.93,1.00E-04,3.585,8.607,7.678,7.387,7.484,9.952,14.936,33,96.388,4.826,2.889,83.868,1.614,15.313
3,Factorial Point,12,4,4,1.5,34.93,1.00E-05,1.727,2.027,7.029,6.962,7.108,9.609,6.197,80,44.853,4.661,2.234,79.242,1.614,14.322
3,Factorial Point,13,1.5,1.5,4,34.93,1.00E-04,3.777,8.642,7.68,7.391,7.489,9.95,15.976,33,98.332,4.569,2.748,76.269,1.614,15.334
3,Factorial Point,14,4,1.5,4,34.93,1.00E-05,1.707,2.086,7.03,6.964,7.112,9.602,6.039,80,45.512,4.568,2.195,64.437,1.614,14.19
3,Factorial Point,15,1.5,4,4,34.93,1.00E-05,3.678,8.571,7.681,7.389,7.485,9.954,33.787,80,52.603,4.585,2.68,68.79,1.614,15.189
3,Factorial Point,16,4,4,4,34.93,1.00E-04,1.688,1.967,7.039,6.97,7.113,9.615,3.879,50,98.816,4.634,2.198,67.558,1.614,14.251
3,Axial Point,17,2.125,2.75,2.75,28.693,5.50E-05,2.159,4.135,7.532,7.263,7.386,9.881,13.736,80,65.788,3.255,1.813,42.176,1.326,12.44
3,Axial Point,18,3.375,2.75,2.75,28.693,5.50E-05,2.145,2.244,7.206,7.08,7.22,9.692,6.621,80,97.704,3.273,1.552,39.746,1.326,12.215
3,Axial Point,19,2.75,2.125,2.75,28.693,5.50E-05,2.002,2.776,7.332,7.13,7.267,9.786,8.759,80,87.925,3.265,1.7,42.207,1.326,12.222
3,Axial Point,20,2.75,3.375,2.75,28.693,5.50E-05,2.055,2.781,7.329,7.128,7.265,9.786,8.685,80,92.845,3.249,1.706,41.119,1.326,12.217
3,Axial Point,21,2.75,2.75,2.125,28.693,5.50E-05,1.874,2.778,7.336,7.134,7.271,9.786,8.72,80,92.114,3.249,1.736,41.945,1.326,12.14
3,Axial Point,22,2.75,2.75,3.375,28.693,5.50E-05,1.895,2.78,7.335,7.134,7.27,9.786,8.791,80,88.596,3.258,1.736,42.02,1.326,12.174
3,Axial Point,23,2.75,2.75,2.75,25.574,5.50E-05,1.827,2.77,7.333,7.131,7.269,9.786,8.751,80,91.976,2.619,1.351,30.711,1.182,11.06
3,Axial Point,24,2.75,2.75,2.75,31.811,5.50E-05,1.89,2.777,7.328,7.109,7.262,9.786,8.72,80,75.487,3.877,1.854,52.447,1.47,14.227
3,Axial Point,25,2.75,2.75,2.75,28.693,3.25E-05,1.895,2.776,7.331,7.13,7.267,9.786,8.764,80,88.314,3.253,1.687,41.486,1.326,12.181
3,Axial Point,26,2.75,2.75,2.75,28.693,7.75E-05,1.854,2.781,7.337,7.136,7.272,9.786,8.763,80,88.57,3.252,1.74,41.701,1.326,12.212
3,Center Point,27,2.75,2.75,2.75,28.693,5.50E-05,1.82,2.774,7.334,7.132,7.27,9.787,8.504,80,92.218,3.238,1.693,41.696,1.326,12.181
3,Center Point,28,2.75,2.75,2.75,28.693,5.50E-05,1.852,2.774,7.331,7.129,7.266,9.786,8.576,80,90.618,3.251,1.7,42.083,1.326,12.195
3,Center Point,29,2.75,2.75,2.75,28.693,5.50E-05,1.842,2.772,7.335,7.133,7.27,9.786,8.552,80,91.603,3.237,1.722,41.642,1.326,12.124
3,Center Point,30,2.75,2.75,2.75,28.693,5.50E-05,1.836,2.775,7.324,7.123,7.26,9.786,8.473,80,87.721,3.246,1.694,40.602,1.326,12.201
3,Center Point,31,2.75,2.75,2.75,28.693,5.50E-05,1.883,2.779,7.336,7.135,7.272,9.786,8.382,80,91.377,3.25,1.731,42.54,1.326,12.142
3,Center Point,32,2.75,2.75,2.75,28.693,5.50E-05,1.877,2.78,7.336,7.135,7.272,9.786,8.356,80,92.819,3.251,1.736,41.947,1.326,12.245
